Va,Vb,Vc,Ia,Ib,Ic,Fault
376.4883358,136.0411868,-512.5295226,1.068949572,-0.877039401,-0.191910171,AB
248.2121682,307.3957415,-555.6079097,1.123665844,-0.950229935,-0.17343591,AB
215.4248244,378.3671975,-593.7920219,1.194637752,-1.041269777,-0.153367975,AB
221.3927531,405.3416915,-626.7344446,1.259107716,-1.127230846,-0.131876869,AB
183.975692,470.159982,-654.135674,1.320807158,-1.211659442,-0.109147716,AB
169.1850075,506.5624469,-675.7474544,1.38173909,-1.296361219,-0.085377871,AB
216.7069365,474.663573,-691.3705095,1.430301982,-1.369526655,-0.060775327,AB
313.8209662,387.0361622,-700.8571284,1.452266245,-1.416708874,-0.035557371,AB
423.5475943,280.5663936,-704.113988,1.439688818,-1.429739986,-0.009948833,AB
526.8834388,174.2200621,-701.1035009,1.391884813,-1.407704783,0.01581997,AB
531.7011868,160.1450775,-691.8462643,1.317763324,-1.359278901,0.041515577,AB
481.7978781,194.6180822,-676.4159604,1.240083168,-1.306986819,0.066903652,AB
463.5097348,191.4336344,-654.9433692,1.157454207,-1.24920493,0.091750723,AB
421.0773822,206.5389654,-627.6163476,1.068088627,-1.183915859,0.115827232,AB
321.1957431,273.4780656,-594.6738087,0.982186566,-1.12109632,0.138909754,AB
181.2187902,375.1855386,-556.4043288,0.911501199,-1.072284009,0.160782809,AB
39.46151397,473.6834988,-513.1450128,0.860995656,-1.042236566,0.18124091,AB
-83.85827956,549.1371637,-465.2788842,0.828343433,-1.028434162,0.200090728,AB
-117.6619212,530.8948483,-413.2329271,0.803727221,-1.020880531,0.21715331,AB
-96.65336034,454.1235504,-357.47019,0.76610404,-0.998370094,0.232266054,AB
-109.283295,407.7722011,-298.4889061,0.716775674,-0.962059658,0.245283984,AB
-108.6848807,345.5042093,-236.8193286,0.659545342,-0.915627306,0.256081964,AB
-65.5891309,238.6037943,-173.0146634,0.587823368,-0.85237938,0.264556012,AB
1.074108329,106.5725351,-107.6466435,0.494302379,-0.764926397,0.270624018,AB
54.76827817,-13.46659937,-41.30167879,0.378646565,-0.652873093,0.274226528,AB
77.47047961,-102.8946574,25.4241778,0.247466924,-0.522794421,0.275327497,AB
17.90696244,-109.8366425,91.92968011,0.112905617,-0.386820505,0.273914888,AB
-94.03131562,-63.5858667,157.6171823,-0.004270916,-0.265730025,0.270000941,AB
-168.4996946,-53.39612969,221.8958243,-0.103912111,-0.159709554,0.263621665,AB
-243.579201,-40.60618277,284.1853838,-0.190009502,-0.064827533,0.254837034,AB
-345.1518156,1.226228242,343.9255873,-0.257372668,0.013642333,0.243730334,AB
-453.7098498,53.12919598,400.5806538,-0.300435096,0.070028197,0.230406899,AB
-535.2036742,81.5608626,453.6428116,-0.320313267,0.105320362,0.214992906,AB
-574.4388868,71.80227828,502.6366085,-0.324328122,0.126693968,0.197634154,AB
-536.4451996,-10.67734844,547.122548,-0.32347188,0.144977162,0.178494718,AB
-447.375226,-139.3284538,586.7036798,-0.334908303,0.177152968,0.157755335,AB
-395.4463939,-225.5812231,621.027617,-0.356924425,0.221313257,0.135611168,AB
-348.8353516,-300.9525949,649.7879465,-0.38259594,0.270325692,0.112270248,AB
-282.4288368,-390.3017687,672.7306055,-0.413458049,0.325506735,0.087951314,AB
-213.7130154,-475.9425037,689.6555191,-0.451644697,0.388763488,0.06288121,AB
-172.2685865,-528.1483234,700.4169099,-0.493418654,0.456126132,0.037292522,AB
-168.903407,-536.0207737,704.9241807,-0.530014358,0.518592981,0.011421377,AB
-224.4117345,-478.7304321,703.1421667,-0.550889014,0.565383733,-0.014494719,AB
-314.8797518,-380.2136283,695.0933801,-0.541729436,0.581948523,-0.040219087,AB
-355.5559581,-325.3006971,680.8566552,-0.505550975,0.571069444,-0.065518468,AB
-373.6091362,-286.9553061,660.5644423,-0.451364808,0.541529648,-0.090164839,AB
-394.8928817,-239.5118912,634.4047729,-0.380316409,0.494253951,-0.113937542,AB
